,Closed Date,Created Date,Agency,Borough,processing_time,start_time_window
87,2016-01-01 06:10:26,2016-01-01 00:27:51,NYPD,QUEENS,0 days 05:42:35.000000000,0
88,2016-01-01 01:18:00,2016-01-01 00:28:00,DOT,BRONX,0 days 00:50:00.000000000,0
89,2016-01-01 03:14:10,2016-01-01 00:28:05,NYPD,QUEENS,0 days 02:46:05.000000000,0
90,2016-01-11 20:30:00,2016-01-01 00:29:00,DOT,BROOKLYN,10 days 20:01:00.000000000,0
91,2016-01-01 03:43:46,2016-01-01 00:29:03,NYPD,QUEENS,0 days 03:14:43.000000000,0
92,2016-01-04 13:02:04,2016-01-01 00:29:21,HPD,BROOKLYN,3 days 12:32:43.000000000,0
93,2016-01-04 10:51:00,2016-01-01 00:30:00,DEP,MANHATTAN,3 days 10:21:00.000000000,0
94,2016-01-01 02:46:41,2016-01-01 00:30:14,NYPD,QUEENS,0 days 02:16:27.000000000,0
95,2016-01-01 01:50:23,2016-01-01 00:30:26,NYPD,BROOKLYN,0 days 01:19:57.000000000,0
96,2016-01-01 01:22:16,2016-01-01 00:30:42,NYPD,BROOKLYN,0 days 00:51:34.000000000,0
97,2016-01-01 01:16:31,2016-01-01 00:31:02,NYPD,BRONX,0 days 00:45:29.000000000,0
98,2016-01-01 01:50:17,2016-01-01 00:31:06,NYPD,MANHATTAN,0 days 01:19:11.000000000,0
99,2016-01-06 13:07:05,2016-01-01 00:31:14,DOT,BROOKLYN,5 days 12:35:51.000000000,0
100,2016-01-01 02:19:07,2016-01-01 00:31:24,NYPD,BRONX,0 days 01:47:43.000000000,0
101,2016-01-02 10:04:19,2016-01-01 00:31:26,HPD,BROOKLYN,1 days 09:32:53.000000000,0
102,2016-01-01 02:41:50,2016-01-01 00:31:33,NYPD,BROOKLYN,0 days 02:10:17.000000000,0
103,2016-01-01 01:30:00,2016-01-01 00:32:00,DOT,QUEENS,0 days 00:58:00.000000000,0
104,2016-01-01 02:33:58,2016-01-01 00:32:18,NYPD,BROOKLYN,0 days 02:01:40.000000000,0
105,,2016-01-01 00:32:21,DOHMH,BRONX,,0
106,2016-01-01 01:39:08,2016-01-01 00:32:31,NYPD,QUEENS,0 days 01:06:37.000000000,0
107,2016-01-01 04:09:38,2016-01-01 00:32:34,NYPD,BRONX,0 days 03:37:04.000000000,0
108,2016-01-01 02:20:00,2016-01-01 00:33:00,DEP,STATEN ISLAND,0 days 01:47:00.000000000,0
109,2016-01-01 06:34:26,2016-01-01 00:33:01,NYPD,QUEENS,0 days 06:01:25.000000000,0
110,2016-01-01 05:01:47,2016-01-01 00:33:03,NYPD,BROOKLYN,0 days 04:28:44.000000000,0
111,2016-01-01 02:09:44,2016-01-01 00:33:19,NYPD,MANHATTAN,0 days 01:36:25.000000000,0
112,2016-01-01 03:04:54,2016-01-01 00:34:08,NYPD,QUEENS,0 days 02:30:46.000000000,0
